Timestamp,Data Size (bytes),CPU Usage (%),Memory Usage (%),Steps
1717438510.742125,154,4.4,29.1,OCC_TO_CU
1717438510.9044461,241,19.4,29.2,CU_TO_DEV
1717438510.9069464,241,0.0,29.2,CU_TO_DEV
1717438513.6848207,322,3.2,29.0,OCC_TO_CU
1717438513.686069,322,0.0,29.0,OCC_TO_CU
1717438513.7068257,273,42.9,29.0,CU_TO_DEV
1717438513.7085524,273,100.0,29.1,CU_TO_DEV
1717438523.681184,322,3.5,29.0,OCC_TO_CU
1717438523.6819432,322,0.0,29.0,OCC_TO_CU
1717438523.7129083,273,50.0,29.1,CU_TO_DEV
1717438523.714359,273,0.0,29.1,CU_TO_DEV
1717438533.6895118,322,3.9,29.1,OCC_TO_CU
1717438533.6905015,322,0.0,29.1,OCC_TO_CU
1717438533.720045,273,75.0,29.1,CU_TO_DEV
1717438533.7232046,273,100.0,29.1,CU_TO_DEV
1717438543.6895022,322,6.2,28.9,OCC_TO_CU
1717438543.6901748,322,0.0,28.9,OCC_TO_CU
1717438543.728764,273,35.3,28.9,CU_TO_DEV
1717438543.7315047,273,0.0,28.9,CU_TO_DEV
1717438553.7293286,322,3.6,28.9,OCC_TO_CU
1717438553.7299345,322,0.0,28.9,OCC_TO_CU
1717438553.735294,273,50.0,28.9,CU_TO_DEV
1717438553.7366943,273,0.0,28.9,CU_TO_DEV
1717438560.6088436,154,4.5,29.0,OCC_TO_CU
1717438560.7401614,241,19.2,29.2,CU_TO_DEV
1717438560.7406914,241,0.0,29.2,CU_TO_DEV
1717438563.7278454,322,3.2,29.0,OCC_TO_CU
1717438563.7284918,322,0.0,29.0,OCC_TO_CU
1717438563.7425451,273,40.0,29.0,CU_TO_DEV
1717438563.743465,273,100.0,29.0,CU_TO_DEV
1717438573.7477405,322,4.0,29.0,OCC_TO_CU
1717438573.7484,322,0.0,29.0,OCC_TO_CU
1717438573.7503073,273,0.0,29.0,CU_TO_DEV
1717438573.7506702,273,0.0,29.0,CU_TO_DEV
1717438583.7609234,322,3.7,29.1,OCC_TO_CU
1717438583.7615607,322,0.0,29.1,OCC_TO_CU
1717438583.9557025,273,56.4,29.1,CU_TO_DEV
1717438583.9557366,273,56.4,29.1,CU_TO_DEV
1717438593.7647703,322,4.6,28.9,OCC_TO_CU
1717438593.7653806,322,0.0,28.9,OCC_TO_CU
1717438593.9636364,273,6.4,29.0,CU_TO_DEV
1717438593.9636784,273,6.4,29.0,CU_TO_DEV
1717438603.7773793,322,3.8,28.9,OCC_TO_CU
1717438603.778002,322,0.0,28.9,OCC_TO_CU
1717438603.9703906,273,7.9,29.1,CU_TO_DEV
1717438603.9703307,273,7.9,29.1,CU_TO_DEV
1717438610.889427,154,5.1,28.9,OCC_TO_CU
1717438610.9764676,241,17.1,29.0,CU_TO_DEV
1717438610.9769561,241,0.0,29.0,CU_TO_DEV
1717438613.7962112,322,3.0,28.9,OCC_TO_CU
1717438613.7968462,322,0.0,28.9,OCC_TO_CU
1717438613.9786773,273,8.3,29.0,CU_TO_DEV
1717438613.9787207,273,8.3,29.0,CU_TO_DEV
1717438623.8253946,322,3.8,28.9,OCC_TO_CU
1717438623.8260293,322,0.0,28.9,OCC_TO_CU
1717438623.9848945,273,11.1,29.0,CU_TO_DEV
1717438623.98483,273,11.1,29.0,CU_TO_DEV
1717438633.809185,322,4.7,28.9,OCC_TO_CU
1717438633.8097181,322,0.0,28.9,OCC_TO_CU
1717438633.9929914,273,9.3,29.0,CU_TO_DEV
1717438633.9931376,273,9.3,29.0,CU_TO_DEV
1717438643.8144796,322,3.7,29.0,OCC_TO_CU
1717438643.8151097,322,0.0,29.0,OCC_TO_CU
1717438643.9995596,273,8.2,29.1,CU_TO_DEV
1717438643.9997075,273,8.2,29.1,CU_TO_DEV
1717438653.8249104,322,3.8,29.0,OCC_TO_CU
1717438653.8255548,322,0.0,29.0,OCC_TO_CU
1717438654.0076876,273,7.0,29.1,CU_TO_DEV
1717438654.0078661,273,7.0,29.1,CU_TO_DEV
1717438660.6539047,154,4.1,29.1,OCC_TO_CU
1717438660.8132598,241,18.5,29.2,CU_TO_DEV
1717438660.8137374,241,0.0,29.2,CU_TO_DEV
1717438663.8309066,322,2.8,29.1,OCC_TO_CU
1717438663.8319292,322,0.0,29.1,OCC_TO_CU
1717438664.015329,273,55.6,29.1,CU_TO_DEV
1717438664.015712,273,0.0,29.1,CU_TO_DEV
1717438673.870047,322,4.6,29.0,OCC_TO_CU
1717438673.8708692,322,0.0,29.0,OCC_TO_CU
1717438674.0224366,273,9.8,29.1,CU_TO_DEV
1717438674.0247762,273,0.0,29.1,CU_TO_DEV
1717438683.8694167,322,4.2,28.9,OCC_TO_CU
1717438683.8700714,322,0.0,28.9,OCC_TO_CU
1717438684.0293777,273,75.0,29.0,CU_TO_DEV
1717438684.0298789,273,0.0,29.0,CU_TO_DEV
1717438693.8685982,322,3.2,28.6,OCC_TO_CU
1717438693.869523,322,0.0,28.6,OCC_TO_CU
1717438694.0347655,273,22.4,28.8,CU_TO_DEV
1717438694.0349193,273,22.4,28.8,CU_TO_DEV
1717438703.8933103,322,3.6,28.7,OCC_TO_CU
1717438703.8940597,322,0.0,28.7,OCC_TO_CU
1717438704.0428336,273,13.3,28.8,CU_TO_DEV
1717438704.042665,273,13.3,28.8,CU_TO_DEV
1717438710.7275093,154,4.3,28.8,OCC_TO_CU
1717438710.8476572,241,21.3,28.9,CU_TO_DEV
1717438710.8478086,241,21.3,28.9,CU_TO_DEV
1717438713.8938038,322,3.0,28.8,OCC_TO_CU
1717438713.8945355,322,0.0,28.8,OCC_TO_CU
1717438714.0504022,273,9.7,28.9,CU_TO_DEV
1717438714.050853,273,0.0,28.9,CU_TO_DEV
1717438723.9424183,322,4.8,28.7,OCC_TO_CU
1717438723.942966,322,0.0,28.7,OCC_TO_CU
1717438724.0577593,273,11.1,28.9,CU_TO_DEV
1717438724.0585876,273,0.0,28.9,CU_TO_DEV
1717438733.9371965,322,3.7,28.8,OCC_TO_CU
1717438733.9378548,322,0.0,28.8,OCC_TO_CU
1717438734.066757,273,13.7,28.9,CU_TO_DEV
1717438734.0672297,273,50.0,28.9,CU_TO_DEV
1717438743.93504,322,4.3,28.8,OCC_TO_CU
1717438743.9356875,322,100.0,28.8,OCC_TO_CU
1717438744.0768263,273,10.7,28.9,CU_TO_DEV
1717438744.0795474,273,0.0,28.9,CU_TO_DEV
1717438753.9475179,322,4.0,28.8,OCC_TO_CU
1717438753.948156,322,0.0,28.8,OCC_TO_CU
1717438754.0845737,273,11.3,28.9,CU_TO_DEV
1717438754.0853505,273,0.0,28.9,CU_TO_DEV
1717438760.8058214,154,4.5,28.9,OCC_TO_CU
1717438760.8883617,241,21.2,29.0,CU_TO_DEV
1717438760.8884084,241,21.2,29.0,CU_TO_DEV
1717438763.9605932,322,5.5,29.2,OCC_TO_CU
1717438763.9611235,322,0.0,29.2,OCC_TO_CU
1717438764.092788,273,7.7,29.3,CU_TO_DEV
1717438764.0933304,273,0.0,29.3,CU_TO_DEV
1717438773.9747689,322,4.6,28.8,OCC_TO_CU
1717438773.975447,322,100.0,28.8,OCC_TO_CU
1717438774.099326,273,12.2,29.0,CU_TO_DEV
1717438774.099382,273,12.2,29.0,CU_TO_DEV
1717438783.9735868,322,4.8,28.8,OCC_TO_CU
1717438783.9741404,322,0.0,28.8,OCC_TO_CU
1717438784.105248,273,66.7,28.8,CU_TO_DEV
1717438784.1051967,273,66.7,28.8,CU_TO_DEV
1717438794.0028057,322,3.7,28.7,OCC_TO_CU
1717438794.0034633,322,100.0,28.7,OCC_TO_CU
1717438794.110246,273,16.3,28.8,CU_TO_DEV
1717438794.110203,273,16.3,28.8,CU_TO_DEV
1717438804.0285747,322,5.0,28.7,OCC_TO_CU
1717438804.0291047,322,0.0,28.7,OCC_TO_CU
1717438804.1153872,273,14.7,28.8,CU_TO_DEV
1717438804.115463,273,14.7,28.8,CU_TO_DEV
1717438810.88357,154,4.1,28.8,OCC_TO_CU
1717438810.9201138,241,35.7,28.9,CU_TO_DEV
1717438810.9198818,241,35.7,28.9,CU_TO_DEV
1717438814.0274985,322,6.3,28.6,OCC_TO_CU
1717438814.0280125,322,0.0,28.6,OCC_TO_CU
1717438814.122472,273,13.5,28.7,CU_TO_DEV
1717438814.1224313,273,13.5,28.7,CU_TO_DEV
1717438824.027608,322,3.6,28.6,OCC_TO_CU
1717438824.0284584,322,0.0,28.6,OCC_TO_CU
1717438824.1274664,273,13.2,28.7,CU_TO_DEV
1717438824.1280582,273,0.0,28.7,CU_TO_DEV
1717438834.0351586,322,3.9,28.7,OCC_TO_CU
1717438834.0358396,322,100.0,28.7,OCC_TO_CU
1717438834.1325026,273,18.4,28.8,CU_TO_DEV
1717438834.1350985,273,0.0,28.8,CU_TO_DEV
1717438844.0690637,322,3.8,28.7,OCC_TO_CU
1717438844.0697203,322,0.0,28.7,OCC_TO_CU
1717438844.1397164,273,22.2,28.8,CU_TO_DEV
1717438844.1397617,273,22.2,28.8,CU_TO_DEV
1717438854.0713427,322,4.1,29.0,OCC_TO_CU
1717438854.072125,322,0.0,29.0,OCC_TO_CU
1717438854.1449687,273,25.0,29.1,CU_TO_DEV
1717438854.1462686,273,0.0,29.1,CU_TO_DEV
1717438860.958561,154,5.5,28.9,OCC_TO_CU
1717438861.1489751,241,8.0,29.0,CU_TO_DEV
1717438861.1501648,241,0.0,29.0,CU_TO_DEV
1717438864.0741835,322,2.8,28.8,OCC_TO_CU
1717438864.0751832,322,0.0,28.8,OCC_TO_CU
1717438864.1509845,273,17.9,28.9,CU_TO_DEV
1717438864.151741,273,0.0,28.9,CU_TO_DEV
1717438874.076352,322,4.6,28.8,OCC_TO_CU
1717438874.0770295,322,0.0,28.8,OCC_TO_CU
