Timestamp,Data Size (bytes),CPU Usage (%),Memory Usage (%),Steps
1717446468.178293,170,0.0,13.4,OCC_TO_CU_UPDATE
1717446468.1785014,170,0.0,13.4,OCC_TO_CU_UPDATE
1717446468.3976483,170,14.2,13.5,OCC_TO_CU
1717446468.3980849,170,0.0,13.5,OCC_TO_CU
1717446468.3983016,170,0.0,13.5,OCC_TO_CU
1717446468.3985474,170,0.0,13.5,OCC_TO_CU
1717446469.166485,232,16.9,13.5,DEV_TO_OCC
1717446469.4090621,232,30.0,13.6,DEV_TO_OCC
1717446470.1671994,232,20.5,13.5,DEV_TO_OCC
1717446470.3298202,232,13.4,13.5,DEV_TO_OCC
1717446471.2562666,232,3.9,13.5,DEV_TO_OCC
1717446471.2940202,232,7.0,13.5,DEV_TO_OCC
1717446472.4801083,232,3.6,13.4,DEV_TO_OCC
1717446472.481096,232,0.0,13.4,DEV_TO_OCC
1717446473.4017372,232,6.3,13.4,DEV_TO_OCC
1717446473.4027634,232,0.0,13.4,DEV_TO_OCC
1717446474.3231244,232,7.5,13.4,DEV_TO_OCC
1717446474.3240051,232,75.0,13.4,DEV_TO_OCC
1717446475.2445748,232,6.0,13.4,DEV_TO_OCC
1717446475.3082547,232,27.3,13.4,DEV_TO_OCC
1717446476.473727,232,7.7,13.3,DEV_TO_OCC
1717446476.4757836,232,100.0,13.3,DEV_TO_OCC
1717446477.1902337,232,14.2,13.3,DEV_TO_OCC
1717446477.394826,232,7.0,13.3,DEV_TO_OCC
1717446478.3168802,232,6.4,13.3,DEV_TO_OCC
1717446478.318024,232,0.0,13.3,DEV_TO_OCC
1717446478.407816,338,11.2,13.3,OCC_TO_CU
1717446478.4086702,338,0.0,13.3,OCC_TO_CU
1717446478.409497,338,0.0,13.3,OCC_TO_CU
1717446478.4103968,338,0.0,13.3,OCC_TO_CU
1717446479.2499032,232,6.1,13.3,DEV_TO_OCC
1717446479.3020658,232,10.9,13.3,DEV_TO_OCC
1717446480.2622652,232,4.3,13.3,DEV_TO_OCC
1717446480.3029182,232,20.0,13.3,DEV_TO_OCC
1717446481.3890564,232,3.5,13.3,DEV_TO_OCC
1717446481.3901186,232,0.0,13.3,DEV_TO_OCC
1717446482.3104725,232,4.0,13.3,DEV_TO_OCC
1717446482.3113787,232,66.7,13.3,DEV_TO_OCC
1717446483.231867,232,5.6,13.3,DEV_TO_OCC
1717446483.3042476,232,7.0,13.3,DEV_TO_OCC
1717446484.4608173,232,7.5,13.3,DEV_TO_OCC
1717446484.4615226,232,0.0,13.3,DEV_TO_OCC
1717446485.1860595,232,3.6,13.3,DEV_TO_OCC
1717446485.3826988,232,6.7,13.3,DEV_TO_OCC
1717446486.304582,232,4.4,13.3,DEV_TO_OCC
1717446486.3055906,232,0.0,13.3,DEV_TO_OCC
1717446487.5334978,232,3.1,13.3,DEV_TO_OCC
1717446487.5343785,232,0.0,13.3,DEV_TO_OCC
1717446488.4197187,338,3.5,13.3,OCC_TO_CU
1717446488.4206443,338,0.0,13.3,OCC_TO_CU
1717446488.4216177,338,0.0,13.3,OCC_TO_CU
1717446488.4225333,338,0.0,13.3,OCC_TO_CU
1717446488.4474635,232,64.5,13.3,DEV_TO_OCC
1717446488.4484875,232,0.0,13.3,DEV_TO_OCC
1717446489.2747595,232,7.5,13.3,DEV_TO_OCC
1717446489.307011,232,17.5,13.3,DEV_TO_OCC
1717446490.303489,232,4.7,13.3,DEV_TO_OCC
1717446490.3079374,232,40.0,13.3,DEV_TO_OCC
1717446491.2429185,232,3.0,13.3,DEV_TO_OCC
1717446491.3110905,232,9.5,13.3,DEV_TO_OCC
1717446492.4506555,232,6.0,13.3,DEV_TO_OCC
1717446492.4516933,232,100.0,13.3,DEV_TO_OCC
1717446493.3705668,232,15.7,13.3,DEV_TO_OCC
1717446493.372218,232,75.0,13.3,DEV_TO_OCC
1717446494.2938125,232,15.2,13.5,DEV_TO_OCC
1717446494.311384,232,84.6,13.5,DEV_TO_OCC
1717446495.2176638,232,18.9,13.5,DEV_TO_OCC
1717446495.3198175,232,11.6,13.5,DEV_TO_OCC
1717446496.4425952,232,13.0,13.5,DEV_TO_OCC
1717446496.443678,232,50.0,13.5,DEV_TO_OCC
1717446497.3639884,232,7.4,13.5,DEV_TO_OCC
1717446497.365335,232,0.0,13.5,DEV_TO_OCC
1717446498.285532,232,4.5,13.5,DEV_TO_OCC
1717446498.312507,232,25.0,13.5,DEV_TO_OCC
1717446498.4315758,338,15.4,13.5,OCC_TO_CU
1717446498.4324026,338,0.0,13.5,OCC_TO_CU
1717446498.4329896,338,0.0,13.5,OCC_TO_CU
1717446498.4335368,338,0.0,13.5,OCC_TO_CU
1717446499.2070403,232,13.4,13.5,DEV_TO_OCC
1717446499.4116066,232,16.3,13.5,DEV_TO_OCC
1717446500.3940725,232,14.4,13.6,DEV_TO_OCC
1717446500.3947155,232,0.0,13.6,DEV_TO_OCC
1717446501.3573928,232,23.6,13.6,DEV_TO_OCC
1717446501.3579023,232,0.0,13.6,DEV_TO_OCC
1717446502.2791464,232,15.1,13.6,DEV_TO_OCC
1717446502.3186686,232,17.8,13.6,DEV_TO_OCC
1717446503.5084157,232,13.3,13.5,DEV_TO_OCC
1717446503.5093834,232,0.0,13.5,DEV_TO_OCC
1717446504.3274221,232,16.4,13.5,DEV_TO_OCC
1717446504.328561,232,0.0,13.5,DEV_TO_OCC
1717446505.3512151,232,17.0,13.5,DEV_TO_OCC
1717446505.351564,232,100.0,13.5,DEV_TO_OCC
1717446506.273238,232,20.2,13.6,DEV_TO_OCC
1717446506.327365,232,23.9,13.6,DEV_TO_OCC
1717446507.5017574,232,14.5,13.6,DEV_TO_OCC
1717446507.50229,232,0.0,13.6,DEV_TO_OCC
1717446508.42526,232,15.4,13.6,DEV_TO_OCC
1717446508.4271684,232,75.0,13.6,DEV_TO_OCC
1717446508.443894,338,38.1,13.6,OCC_TO_CU
1717446508.4457552,338,0.0,13.6,OCC_TO_CU
1717446508.4480212,338,100.0,13.6,OCC_TO_CU
1717446508.4496748,338,0.0,13.6,OCC_TO_CU
1717446509.3451586,232,9.4,13.5,DEV_TO_OCC
1717446509.3461635,232,0.0,13.5,DEV_TO_OCC
1717446510.2717385,232,4.0,13.5,DEV_TO_OCC
1717446510.3248103,232,15.9,13.4,DEV_TO_OCC
1717446511.495543,232,3.4,13.4,DEV_TO_OCC
1717446511.4964106,232,0.0,13.4,DEV_TO_OCC
1717446512.417196,232,4.0,13.4,DEV_TO_OCC
1717446512.4184127,232,0.0,13.4,DEV_TO_OCC
1717446513.338973,232,2.8,13.4,DEV_TO_OCC
1717446513.3399284,232,50.0,13.4,DEV_TO_OCC
1717446514.2000065,232,4.5,13.4,DEV_TO_OCC
1717446514.3665028,232,28.0,13.4,DEV_TO_OCC
1717446515.489458,232,4.4,13.4,DEV_TO_OCC
1717446515.490486,232,0.0,13.4,DEV_TO_OCC
1717446516.308295,232,5.6,13.4,DEV_TO_OCC
1717446516.3293247,232,12.5,13.4,DEV_TO_OCC
1717446517.3324842,232,3.2,13.3,DEV_TO_OCC
1717446517.3334744,232,0.0,13.3,DEV_TO_OCC
1717446518.254094,232,4.0,13.3,DEV_TO_OCC
1717446518.3334801,232,9.3,13.3,DEV_TO_OCC
1717446518.3368099,170,50.0,13.3,OCC_TO_CU_UPDATE
1717446518.3376667,170,0.0,13.3,OCC_TO_CU_UPDATE
1717446518.459732,338,10.9,13.3,OCC_TO_CU
1717446518.4606318,338,0.0,13.3,OCC_TO_CU
1717446518.4615219,338,0.0,13.3,OCC_TO_CU
1717446518.46244,338,0.0,13.3,OCC_TO_CU
1717446519.487328,232,5.3,13.3,DEV_TO_OCC
1717446519.487682,232,0.0,13.3,DEV_TO_OCC
1717446520.4062395,232,3.4,13.3,DEV_TO_OCC
1717446520.4070635,232,0.0,13.3,DEV_TO_OCC
1717446521.3260224,232,3.3,13.3,DEV_TO_OCC
1717446521.33276,232,40.0,13.3,DEV_TO_OCC
1717446522.2479162,232,4.3,13.3,DEV_TO_OCC
1717446522.3333979,232,7.9,13.3,DEV_TO_OCC
1717446523.4796603,232,3.1,13.3,DEV_TO_OCC
1717446523.4806483,232,0.0,13.3,DEV_TO_OCC
1717446524.4002466,232,4.3,13.3,DEV_TO_OCC
1717446524.401422,232,0.0,13.3,DEV_TO_OCC
1717446525.319792,232,4.9,13.3,DEV_TO_OCC
1717446525.342631,232,18.5,13.3,DEV_TO_OCC
1717446526.2415168,232,3.2,13.3,DEV_TO_OCC
1717446526.335946,232,9.6,13.3,DEV_TO_OCC
1717446527.4707382,232,3.3,13.3,DEV_TO_OCC
1717446527.47197,232,50.0,13.3,DEV_TO_OCC
1717446528.3921583,232,3.5,13.3,DEV_TO_OCC
1717446528.393114,232,0.0,13.3,DEV_TO_OCC
1717446528.4717147,338,11.5,13.3,OCC_TO_CU
1717446528.4728596,338,0.0,13.3,OCC_TO_CU
1717446528.4739392,338,0.0,13.3,OCC_TO_CU
1717446528.475119,338,0.0,13.3,OCC_TO_CU
1717446529.3154745,232,5.7,13.3,DEV_TO_OCC
1717446529.3383074,232,11.5,13.3,DEV_TO_OCC
1717446530.235334,232,4.4,13.3,DEV_TO_OCC
1717446530.439858,232,8.1,13.3,DEV_TO_OCC
1717446531.2248204,232,4.0,13.3,DEV_TO_OCC
1717446531.4254344,232,6.2,13.3,DEV_TO_OCC
1717446532.3858726,232,3.1,13.3,DEV_TO_OCC
1717446532.3868268,232,0.0,13.3,DEV_TO_OCC
1717446533.3074083,232,3.6,13.3,DEV_TO_OCC
1717446533.3411179,232,14.3,13.3,DEV_TO_OCC
1717446534.2287545,232,2.7,13.3,DEV_TO_OCC
1717446534.4334965,232,4.9,13.3,DEV_TO_OCC
1717446535.4577608,232,3.7,13.3,DEV_TO_OCC
1717446535.4586465,232,0.0,13.3,DEV_TO_OCC
1717446536.379732,232,3.5,13.4,DEV_TO_OCC
1717446536.3807518,232,0.0,13.4,DEV_TO_OCC
1717446537.3010573,232,3.6,13.4,DEV_TO_OCC
1717446537.3558788,232,7.7,13.4,DEV_TO_OCC
1717446538.4835155,338,5.7,13.4,OCC_TO_CU
1717446538.4840388,338,0.0,13.4,OCC_TO_CU
1717446538.4844325,338,0.0,13.4,OCC_TO_CU
1717446538.4847875,338,0.0,13.4,OCC_TO_CU
1717446538.514047,232,65.6,13.4,DEV_TO_OCC
1717446538.5156813,232,83.3,13.4,DEV_TO_OCC
1717446539.451543,232,4.0,13.4,DEV_TO_OCC
1717446539.4524744,232,0.0,13.4,DEV_TO_OCC
1717446540.3730888,232,4.8,13.3,DEV_TO_OCC
1717446540.3740687,232,0.0,13.3,DEV_TO_OCC
1717446541.296485,232,3.4,13.3,DEV_TO_OCC
1717446541.356746,232,14.3,13.3,DEV_TO_OCC
1717446542.524011,232,2.8,13.3,DEV_TO_OCC
1717446542.5249572,232,0.0,13.3,DEV_TO_OCC
1717446543.4453778,232,6.3,13.3,DEV_TO_OCC
1717446543.4463391,232,0.0,13.3,DEV_TO_OCC
1717446544.366889,232,3.6,13.3,DEV_TO_OCC
1717446544.367992,232,66.7,13.3,DEV_TO_OCC
1717446545.2883668,232,6.2,13.3,DEV_TO_OCC
1717446545.3619528,232,9.1,13.3,DEV_TO_OCC
1717446546.226872,232,3.2,13.3,DEV_TO_OCC
1717446546.4147618,232,6.2,13.3,DEV_TO_OCC
1717446547.4391425,232,2.7,13.3,DEV_TO_OCC
1717446547.4401293,232,50.0,13.3,DEV_TO_OCC
1717446548.3622456,232,3.3,13.3,DEV_TO_OCC
1717446548.3631518,232,0.0,13.3,DEV_TO_OCC
1717446548.4917233,338,8.4,13.3,OCC_TO_CU
1717446548.492588,338,0.0,13.3,OCC_TO_CU
1717446548.493476,338,0.0,13.3,OCC_TO_CU
1717446548.4943137,338,0.0,13.3,OCC_TO_CU
1717446549.2836924,232,5.9,13.3,DEV_TO_OCC
