Timestamp,Data Size (bytes),CPU Usage (%),Memory Usage (%),Steps
1717485287.6608033,154,91.6,47.8,OCC_TO_CU
1717485287.6668346,241,100.0,47.8,CU_TO_DEV
1717485287.666897,241,100.0,47.8,CU_TO_DEV
1717485287.8883913,154,39.8,48.9,OCC_TO_CU
1717485287.894889,154,0.0,49.0,OCC_TO_CU
1717485297.905718,322,6.0,46.6,OCC_TO_CU
1717485297.9113257,322,0.0,46.6,OCC_TO_CU
1717485298.0756903,273,10.8,46.7,CU_TO_DEV
1717485298.0798793,273,0.0,46.7,CU_TO_DEV
1717485307.9676702,322,3.9,46.3,OCC_TO_CU
1717485307.9684181,322,0.0,46.3,OCC_TO_CU
1717485308.085455,273,13.0,46.4,CU_TO_DEV
1717485308.085395,273,13.0,46.4,CU_TO_DEV
1717485317.9352493,322,3.7,46.1,OCC_TO_CU
1717485317.9363933,322,0.0,46.1,OCC_TO_CU
1717485318.0914686,273,14.1,46.2,CU_TO_DEV
1717485318.0912635,273,14.1,46.2,CU_TO_DEV
1717485327.9383929,322,3.7,46.3,OCC_TO_CU
1717485327.9395149,322,0.0,46.3,OCC_TO_CU
1717485328.097939,273,12.5,46.4,CU_TO_DEV
1717485328.0978978,273,12.5,46.4,CU_TO_DEV
1717485337.9609528,322,4.3,46.2,OCC_TO_CU
1717485337.9620097,322,0.0,46.2,OCC_TO_CU
1717485338.1036007,273,15.5,46.3,CU_TO_DEV
1717485338.1039238,273,0.0,46.3,CU_TO_DEV
1717485347.9512072,322,6.1,45.4,OCC_TO_CU
1717485347.9519827,322,0.0,45.4,OCC_TO_CU
1717485348.109194,273,11.1,45.5,CU_TO_DEV
1717485348.109432,273,0.0,45.5,CU_TO_DEV
1717485357.979895,322,3.6,45.5,OCC_TO_CU
1717485357.981061,322,100.0,45.5,OCC_TO_CU
1717485358.1146815,273,9.8,45.6,CU_TO_DEV
1717485358.115195,273,0.0,45.6,CU_TO_DEV
1717485367.9805238,322,3.7,45.5,OCC_TO_CU
1717485367.9812672,322,100.0,45.5,OCC_TO_CU
1717485368.1219242,273,10.9,45.6,CU_TO_DEV
1717485368.122098,273,10.9,45.6,CU_TO_DEV
1717485377.9810305,322,3.8,45.5,OCC_TO_CU
1717485377.9831138,322,0.0,45.5,OCC_TO_CU
1717485378.1284738,273,10.5,45.6,CU_TO_DEV
1717485378.1282,273,10.5,45.6,CU_TO_DEV
1717485388.0154974,322,4.5,45.5,OCC_TO_CU
1717485388.016643,322,100.0,45.5,OCC_TO_CU
1717485388.133732,273,12.8,45.5,CU_TO_DEV
1717485388.134131,273,0.0,45.5,CU_TO_DEV
1717485398.0243342,322,3.6,45.5,OCC_TO_CU
1717485398.025146,322,0.0,45.5,OCC_TO_CU
1717485398.138571,273,13.6,45.6,CU_TO_DEV
1717485398.1388483,273,0.0,45.6,CU_TO_DEV
1717485408.031386,322,3.7,45.6,OCC_TO_CU
1717485408.0322618,322,0.0,45.6,OCC_TO_CU
1717485408.144988,273,17.4,45.7,CU_TO_DEV
1717485408.1456137,273,0.0,45.7,CU_TO_DEV
1717485418.0450456,322,4.2,45.5,OCC_TO_CU
1717485418.046359,322,0.0,45.5,OCC_TO_CU
1717485418.150625,273,15.0,45.6,CU_TO_DEV
1717485418.1535635,273,0.0,45.6,CU_TO_DEV
1717485428.0772626,322,3.4,45.6,OCC_TO_CU
1717485428.0780034,322,0.0,45.6,OCC_TO_CU
1717485428.1558151,273,22.6,45.7,CU_TO_DEV
1717485428.1591444,273,0.0,45.7,CU_TO_DEV
1717485438.2147563,322,4.9,45.5,OCC_TO_CU
1717485438.2169085,322,0.0,45.5,OCC_TO_CU
1717485438.4015677,273,58.1,45.5,CU_TO_DEV
1717485438.4060118,273,0.0,45.5,CU_TO_DEV
1717485448.3130233,322,4.4,45.3,OCC_TO_CU
1717485448.3138099,322,0.0,45.3,OCC_TO_CU
1717485448.4226685,273,11.6,45.4,CU_TO_DEV
1717485448.439168,273,37.5,45.4,CU_TO_DEV
1717485458.3677883,322,3.4,45.4,OCC_TO_CU
1717485458.3709416,322,0.0,45.4,OCC_TO_CU
1717485458.434581,273,26.9,45.5,CU_TO_DEV
1717485458.4504938,273,33.3,45.5,CU_TO_DEV
1717485468.404978,322,3.6,45.4,OCC_TO_CU
1717485468.4057276,322,0.0,45.4,OCC_TO_CU
1717485468.4425812,273,35.7,45.5,CU_TO_DEV
