Timestamp,Data Size (bytes),CPU Usage (%),Memory Usage (%),Steps
1717514079.51649,170,0.0,14.1,OCC_TO_CU_UPDATE
1717514079.5166788,170,0.0,14.1,OCC_TO_CU_UPDATE
1717514079.7326677,170,12.2,14.2,OCC_TO_CU
1717514079.7332737,170,0.0,14.2,OCC_TO_CU
1717514079.7335825,170,0.0,14.2,OCC_TO_CU
1717514079.7337732,170,0.0,14.2,OCC_TO_CU
1717514079.7535522,232,36.0,14.2,DEV_TO_OCC
1717514079.9528897,232,12.8,14.3,DEV_TO_OCC
1717514080.968321,232,21.3,14.3,DEV_TO_OCC
1717514080.9733858,232,25.0,14.3,DEV_TO_OCC
1717514081.8905506,232,10.7,14.3,DEV_TO_OCC
1717514081.8915434,232,66.7,14.3,DEV_TO_OCC
1717514082.82096,232,3.9,14.3,DEV_TO_OCC
1717514082.8808649,232,19.4,14.3,DEV_TO_OCC
1717514083.7878084,232,2.8,14.2,DEV_TO_OCC
1717514083.8704193,232,7.1,14.2,DEV_TO_OCC
1717514084.7569027,232,3.0,14.2,DEV_TO_OCC
1717514084.9692037,232,4.3,14.2,DEV_TO_OCC
1717514085.8837602,232,3.7,14.2,DEV_TO_OCC
1717514085.884773,232,0.0,14.2,DEV_TO_OCC
1717514086.805247,232,3.6,14.2,DEV_TO_OCC
1717514086.8747704,232,8.3,14.2,DEV_TO_OCC
1717514088.034465,232,3.6,14.2,DEV_TO_OCC
1717514088.035426,232,66.7,14.2,DEV_TO_OCC
1717514088.9559672,232,3.4,14.1,DEV_TO_OCC
1717514088.9569657,232,0.0,14.1,DEV_TO_OCC
1717514089.7445118,338,3.1,14.1,OCC_TO_CU
1717514089.745481,338,0.0,14.1,OCC_TO_CU
1717514089.746319,338,0.0,14.1,OCC_TO_CU
1717514089.7471511,338,0.0,14.1,OCC_TO_CU
1717514089.7739928,232,43.8,14.1,DEV_TO_OCC
1717514089.9793985,232,8.8,14.1,DEV_TO_OCC
1717514090.798853,232,4.5,14.1,DEV_TO_OCC
1717514090.876328,232,5.3,14.1,DEV_TO_OCC
1717514092.028237,232,3.0,14.1,DEV_TO_OCC
1717514092.0292606,232,0.0,14.1,DEV_TO_OCC
1717514092.949606,232,6.2,14.2,DEV_TO_OCC
1717514092.95049,232,0.0,14.2,DEV_TO_OCC
1717514093.7363002,232,3.3,14.2,DEV_TO_OCC
1717514093.9733534,232,5.6,14.2,DEV_TO_OCC
1717514094.7927744,232,2.8,14.2,DEV_TO_OCC
1717514094.8820078,232,8.2,14.2,DEV_TO_OCC
1717514096.0216007,232,4.2,14.2,DEV_TO_OCC
1717514096.0225778,232,0.0,14.2,DEV_TO_OCC
1717514096.943743,232,5.2,14.2,DEV_TO_OCC
1717514096.9446852,232,0.0,14.2,DEV_TO_OCC
1717514097.864309,232,6.0,14.2,DEV_TO_OCC
1717514097.8817344,232,16.7,14.2,DEV_TO_OCC
1717514098.7862704,232,3.5,14.2,DEV_TO_OCC
1717514098.8821847,232,7.6,14.2,DEV_TO_OCC
1717514099.7557225,338,3.6,14.2,OCC_TO_CU
1717514099.7566245,338,0.0,14.2,OCC_TO_CU
1717514099.757579,338,0.0,14.2,OCC_TO_CU
1717514099.7586784,338,0.0,14.2,OCC_TO_CU
1717514099.836111,232,12.0,14.2,DEV_TO_OCC
1717514099.8836155,232,10.5,14.2,DEV_TO_OCC
1717514100.834022,232,4.1,14.2,DEV_TO_OCC
1717514101.0387886,232,4.8,14.2,DEV_TO_OCC
1717514101.8585348,232,3.1,14.2,DEV_TO_OCC
1717514101.8870432,232,63.3,14.2,DEV_TO_OCC
1717514102.7799265,232,3.4,14.2,DEV_TO_OCC
1717514102.9872088,232,5.2,14.2,DEV_TO_OCC
1717514104.008839,232,3.0,14.2,DEV_TO_OCC
1717514104.0097337,232,0.0,14.2,DEV_TO_OCC
1717514104.9310713,232,2.9,14.2,DEV_TO_OCC
1717514104.9324527,232,50.0,14.2,DEV_TO_OCC
1717514105.8524523,232,7.2,14.2,DEV_TO_OCC
1717514105.8881543,232,13.6,14.2,DEV_TO_OCC
1717514106.7973914,232,3.0,14.2,DEV_TO_OCC
1717514106.8897164,232,9.9,14.2,DEV_TO_OCC
1717514108.0027077,232,2.8,14.2,DEV_TO_OCC
1717514108.0037632,232,66.7,14.2,DEV_TO_OCC
1717514108.7649777,232,3.3,14.2,DEV_TO_OCC
1717514108.9244654,232,14.9,14.1,DEV_TO_OCC
1717514109.7679625,338,2.9,14.1,OCC_TO_CU
1717514109.7689397,338,0.0,14.1,OCC_TO_CU
1717514109.7699158,338,0.0,14.1,OCC_TO_CU
1717514109.7708933,338,0.0,14.1,OCC_TO_CU
1717514109.8047376,232,84.1,14.1,DEV_TO_OCC
1717514109.9001305,232,60.5,14.1,DEV_TO_OCC
1717514110.7675066,232,3.6,14.1,DEV_TO_OCC
1717514110.9723222,232,7.3,14.1,DEV_TO_OCC
1717514111.996267,232,3.2,14.1,DEV_TO_OCC
1717514111.9972613,232,0.0,14.1,DEV_TO_OCC
1717514112.9177506,232,3.4,14.1,DEV_TO_OCC
1717514112.9184034,232,0.0,14.1,DEV_TO_OCC
1717514113.8397353,232,2.8,14.1,DEV_TO_OCC
1717514113.895179,232,10.9,14.1,DEV_TO_OCC
1717514115.0683193,232,3.5,14.1,DEV_TO_OCC
1717514115.069275,232,0.0,14.1,DEV_TO_OCC
1717514116.0026197,232,3.8,14.1,DEV_TO_OCC
1717514116.0036209,232,100.0,14.1,DEV_TO_OCC
1717514116.9115882,232,3.2,14.1,DEV_TO_OCC
1717514116.9124224,232,0.0,14.1,DEV_TO_OCC
1717514117.833271,232,2.9,14.1,DEV_TO_OCC
1717514117.9044118,232,21.8,14.1,DEV_TO_OCC
1717514119.062425,232,2.4,14.1,DEV_TO_OCC
1717514119.0634675,232,100.0,14.1,DEV_TO_OCC
1717514119.7796845,338,3.5,14.1,OCC_TO_CU
1717514119.7807648,338,0.0,14.1,OCC_TO_CU
1717514119.781784,338,0.0,14.1,OCC_TO_CU
1717514119.7827213,338,0.0,14.1,OCC_TO_CU
1717514119.809362,232,32.3,14.1,DEV_TO_OCC
1717514119.8989754,232,5.5,14.1,DEV_TO_OCC
1717514120.9055,232,4.2,14.1,DEV_TO_OCC
1717514120.9064317,232,0.0,14.1,DEV_TO_OCC
1717514121.827044,232,4.8,14.1,DEV_TO_OCC
1717514121.9009514,232,8.9,14.1,DEV_TO_OCC
1717514123.0562332,232,3.1,14.1,DEV_TO_OCC
1717514123.0571222,232,0.0,14.1,DEV_TO_OCC
1717514123.932723,232,3.5,14.1,DEV_TO_OCC
1717514123.9336581,232,0.0,14.1,DEV_TO_OCC
1717514124.8991234,232,3.0,14.1,DEV_TO_OCC
1717514124.9048555,232,37.5,14.1,DEV_TO_OCC
1717514125.8204987,232,3.6,14.1,DEV_TO_OCC
1717514125.90663,232,2.0,14.1,DEV_TO_OCC
1717514127.0495481,232,3.0,14.1,DEV_TO_OCC
1717514127.05043,232,0.0,14.1,DEV_TO_OCC
1717514127.9712546,232,4.4,14.1,DEV_TO_OCC
1717514127.9722538,232,0.0,14.1,DEV_TO_OCC
1717514128.845397,232,3.3,14.1,DEV_TO_OCC
1717514128.9251995,232,13.1,14.1,DEV_TO_OCC
1717514129.7940013,338,2.9,14.1,OCC_TO_CU
1717514129.7949615,338,0.0,14.1,OCC_TO_CU
1717514129.7960048,338,100.0,14.1,OCC_TO_CU
1717514129.7970374,338,0.0,14.1,OCC_TO_CU
1717514129.8317056,232,22.5,14.1,DEV_TO_OCC
1717514129.9097197,232,5.4,14.1,DEV_TO_OCC
1717514131.0450943,232,3.7,14.1,DEV_TO_OCC
1717514131.0459664,232,0.0,14.1,DEV_TO_OCC
1717514131.96481,232,3.5,14.1,DEV_TO_OCC
1717514131.9656703,232,0.0,14.1,DEV_TO_OCC
1717514132.8943694,232,3.7,14.1,DEV_TO_OCC
1717514132.908654,232,16.7,14.1,DEV_TO_OCC
1717514133.8081548,232,2.6,14.1,DEV_TO_OCC
1717514134.0124433,232,4.6,14.1,DEV_TO_OCC
1717514134.9960086,232,3.0,14.1,DEV_TO_OCC
1717514134.9969568,232,0.0,14.1,DEV_TO_OCC
1717514135.9584413,232,3.6,14.1,DEV_TO_OCC
1717514135.9593341,232,75.0,14.1,DEV_TO_OCC
1717514136.9044523,232,3.1,14.1,DEV_TO_OCC
1717514136.911481,232,12.5,14.1,DEV_TO_OCC
1717514137.8018398,232,2.6,14.1,DEV_TO_OCC
1717514138.00613,232,8.9,14.1,DEV_TO_OCC
1717514138.8256683,232,3.2,14.1,DEV_TO_OCC
1717514138.912635,232,12.0,14.1,DEV_TO_OCC
1717514139.80802,338,3.0,14.1,OCC_TO_CU
1717514139.8090181,338,0.0,14.1,OCC_TO_CU
1717514139.8099554,338,0.0,14.1,OCC_TO_CU
1717514139.8110626,338,0.0,14.1,OCC_TO_CU
1717514139.822447,232,60.0,14.1,DEV_TO_OCC
1717514139.9156978,232,14.2,14.1,DEV_TO_OCC
1717514140.8746421,232,3.9,14.1,DEV_TO_OCC
1717514140.9562721,232,7.8,14.1,DEV_TO_OCC
1717514141.795631,232,2.9,14.1,DEV_TO_OCC
1717514143.0243294,232,3.1,14.1,DEV_TO_OCC
1717514143.0253255,232,0.0,14.1,DEV_TO_OCC
1717514143.9459605,232,3.4,14.1,DEV_TO_OCC
1717514143.9469447,232,0.0,14.1,DEV_TO_OCC
1717514144.8674402,232,3.0,14.1,DEV_TO_OCC
1717514144.8994482,232,13.2,14.1,DEV_TO_OCC
1717514145.78903,232,5.6,14.1,DEV_TO_OCC
1717514145.9936724,232,9.3,14.1,DEV_TO_OCC
1717514147.120225,232,3.3,14.1,DEV_TO_OCC
1717514147.1212258,232,0.0,14.1,DEV_TO_OCC
1717514147.9394197,232,4.1,14.1,DEV_TO_OCC
1717514147.9399607,232,0.0,14.1,DEV_TO_OCC
1717514148.861114,232,2.5,14.1,DEV_TO_OCC
1717514148.9019418,232,18.4,14.1,DEV_TO_OCC
1717514149.8198965,338,4.6,14.1,OCC_TO_CU
1717514149.820934,338,0.0,14.1,OCC_TO_CU
1717514149.8218348,338,0.0,14.1,OCC_TO_CU
1717514149.822829,338,0.0,14.1,OCC_TO_CU
1717514149.8523693,232,41.5,14.1,DEV_TO_OCC
1717514149.90348,232,7.9,14.1,DEV_TO_OCC
1717514151.0534167,232,3.5,14.1,DEV_TO_OCC
1717514151.054567,232,0.0,14.1,DEV_TO_OCC
1717514151.933532,232,3.7,14.1,DEV_TO_OCC
1717514151.9345818,232,0.0,14.1,DEV_TO_OCC
1717514152.854777,232,3.1,14.1,DEV_TO_OCC
1717514152.9080226,232,16.7,14.1,DEV_TO_OCC
