Timestamp,DataTimestamp,CPU Usage (%),Memory Usage (%),Steps
1717494247.314377,,89.1,54.0,CU_TO_DEV
1717494247.3161907,,0.0,53.9,CU_TO_DEV
1717494247.5162728,,46.8,54.7,CU_TO_DEV
1717494247.5182328,,100.0,54.7,CU_TO_DEV
1717494405.1964426,,3.1,50.4,CU_TO_DEV
1717494405.196726,,3.1,50.4,CU_TO_DEV
1717494624.6995087,,2.9,50.3,CU_TO_DEV
1717494624.6999478,,0.0,50.3,CU_TO_DEV
1717494634.8348186,5,4.2,50.3,OCC_TO_CU
1717494634.8355339,6,0.0,50.3,OCC_TO_CU
1717494634.9066687,6,92.9,50.4,CU_TO_DEV
1717494634.9079435,6,0.0,50.4,CU_TO_DEV
1717494644.8675542,9,4.7,50.2,OCC_TO_CU
1717494644.8683121,10,0.0,50.2,OCC_TO_CU
1717494644.9116273,10,61.1,50.2,CU_TO_DEV
1717494644.9133708,10,0.0,50.2,CU_TO_DEV
1717494654.8862226,13,3.5,50.2,OCC_TO_CU
1717494654.8901906,14,0.0,50.2,OCC_TO_CU
1717494654.9167504,14,75.0,50.3,CU_TO_DEV
1717494654.9179225,14,0.0,50.3,CU_TO_DEV
1717494664.895454,17,5.1,50.1,OCC_TO_CU
1717494664.8962338,18,0.0,50.1,OCC_TO_CU
1717494664.927104,18,69.2,50.2,CU_TO_DEV
1717494664.9267986,18,69.2,50.2,CU_TO_DEV
1717494674.8941958,21,3.6,50.2,OCC_TO_CU
1717494674.896968,22,66.7,50.2,OCC_TO_CU
1717494674.9325914,22,64.3,50.3,CU_TO_DEV
1717494674.9329917,22,64.3,50.3,CU_TO_DEV
1717494684.902973,25,3.7,50.3,OCC_TO_CU
1717494684.9095318,26,50.0,50.3,OCC_TO_CU
1717494684.938523,26,70.0,50.3,CU_TO_DEV
1717494684.9393306,26,0.0,50.3,CU_TO_DEV
1717494694.9261703,29,3.6,50.3,OCC_TO_CU
1717494694.9297264,30,100.0,50.3,OCC_TO_CU
1717494694.9451537,30,71.4,50.3,CU_TO_DEV
1717494694.9470093,30,0.0,50.3,CU_TO_DEV
1717494704.9337618,33,5.0,50.3,OCC_TO_CU
1717494704.9376934,34,50.0,50.3,OCC_TO_CU
1717494704.9525325,34,80.0,50.3,CU_TO_DEV
1717494704.954223,34,100.0,50.3,CU_TO_DEV
1717494714.9489367,37,4.7,49.8,OCC_TO_CU
1717494714.9494052,38,0.0,49.8,OCC_TO_CU
1717494714.960038,38,50.0,49.8,CU_TO_DEV
1717494714.96107,38,100.0,49.8,CU_TO_DEV
1717494724.9441216,41,4.0,49.7,OCC_TO_CU
1717494724.9488063,42,50.0,49.7,OCC_TO_CU
1717494724.9676256,42,66.7,49.8,CU_TO_DEV
1717494724.968178,42,0.0,49.8,CU_TO_DEV
1717494734.958435,45,5.0,50.0,OCC_TO_CU
1717494734.9622183,46,0.0,50.0,OCC_TO_CU
1717494734.974299,46,80.0,50.0,CU_TO_DEV
1717494734.975668,46,0.0,50.0,CU_TO_DEV
1717494744.967554,49,4.2,50.1,OCC_TO_CU
1717494744.97073,50,0.0,50.1,OCC_TO_CU
1717494744.9797807,50,50.0,50.1,CU_TO_DEV
1717494744.9818542,50,100.0,50.1,CU_TO_DEV
1717494754.9729939,53,3.6,50.2,OCC_TO_CU
1717494754.9761562,54,0.0,50.2,OCC_TO_CU
1717494754.9863703,54,50.0,50.2,CU_TO_DEV
1717494754.9903152,54,100.0,50.2,CU_TO_DEV
1717494765.0245924,57,4.9,50.2,OCC_TO_CU
1717494765.0253482,58,0.0,50.2,OCC_TO_CU
1717494765.1975281,58,36.2,50.3,CU_TO_DEV
1717494765.1998343,58,0.0,50.3,CU_TO_DEV
1717494775.0088704,61,5.7,50.2,OCC_TO_CU
1717494775.009997,62,0.0,50.2,OCC_TO_CU
1717494775.208929,62,64.2,50.4,CU_TO_DEV
1717494775.209477,62,0.0,50.4,CU_TO_DEV
1717494785.0262485,65,5.5,50.1,OCC_TO_CU
1717494785.0273771,66,0.0,50.1,OCC_TO_CU
1717494785.2150578,66,44.6,50.3,CU_TO_DEV
1717494785.214995,66,44.0,50.3,CU_TO_DEV
1717494795.051934,69,4.1,49.9,OCC_TO_CU
1717494795.0528686,70,100.0,49.9,OCC_TO_CU
1717494795.2214165,70,39.7,50.2,CU_TO_DEV
1717494795.2213514,70,39.7,50.2,CU_TO_DEV
1717494805.0452807,73,5.1,49.8,OCC_TO_CU
1717494805.0466897,74,0.0,49.8,OCC_TO_CU
1717494805.2268665,74,36.1,50.2,CU_TO_DEV
1717494805.2267954,74,36.1,50.2,CU_TO_DEV
1717494815.0695808,77,6.5,50.1,OCC_TO_CU
1717494815.0701911,78,0.0,50.1,OCC_TO_CU
1717494815.2328265,78,30.8,50.2,CU_TO_DEV
1717494815.2327526,78,30.8,50.2,CU_TO_DEV
1717494825.0853064,81,17.6,50.1,OCC_TO_CU
1717494825.0863473,82,0.0,50.1,OCC_TO_CU
1717494825.2471085,82,34.9,50.1,CU_TO_DEV
1717494825.250266,82,0.0,50.1,CU_TO_DEV
1717494835.0852375,85,5.1,47.5,OCC_TO_CU
1717494835.0861113,86,0.0,47.5,OCC_TO_CU
1717494835.2533922,86,20.6,47.6,CU_TO_DEV
1717494835.2545047,86,0.0,47.6,CU_TO_DEV
1717494845.1135817,89,3.0,47.5,OCC_TO_CU
1717494845.1142147,90,0.0,47.5,OCC_TO_CU
1717494845.258577,90,29.8,47.7,CU_TO_DEV
1717494845.2589138,90,0.0,47.7,CU_TO_DEV
1717494855.1275206,93,3.1,47.6,OCC_TO_CU
1717494855.1282272,94,0.0,47.6,OCC_TO_CU
1717494855.2645245,94,31.5,47.7,CU_TO_DEV
1717494855.2644782,94,32.1,47.7,CU_TO_DEV
1717494865.1271336,97,2.8,47.6,OCC_TO_CU
1717494865.1279106,98,0.0,47.6,OCC_TO_CU
1717494865.2699242,98,28.6,47.8,CU_TO_DEV
1717494865.2698808,98,28.6,47.8,CU_TO_DEV
1717494875.147105,101,3.1,47.7,OCC_TO_CU
1717494875.1481607,102,0.0,47.7,OCC_TO_CU
1717494875.2776444,102,100.0,47.8,CU_TO_DEV
1717494875.2760494,102,88.7,47.8,CU_TO_DEV
1717494885.1572256,105,3.4,47.5,OCC_TO_CU
1717494885.1578214,106,0.0,47.5,OCC_TO_CU
