Timestamp,DataTimestamp,CPU Usage (%),Memory Usage (%),Steps
1717494624.5654452,,0.0,14.9,OCC_TO_CU_UPDATE
1717494624.5656474,,0.0,14.9,OCC_TO_CU_UPDATE
1717494624.7782989,1,11.7,14.9,OCC_TO_CU
1717494624.7788439,2,0.0,14.9,OCC_TO_CU
1717494624.7793064,3,0.0,14.9,OCC_TO_CU
1717494624.779617,4,0.0,14.9,OCC_TO_CU
1717494625.8871226,"{'21001': ',1717494625'}",10.0,15.0,DEV_TO_OCC
1717494625.8885415,"{'21001': ',1717494625', '11002': ',1717494625'}",100.0,15.0,DEV_TO_OCC
1717494626.7021537,"{'21001': ',1717494626', '11002': ',1717494625', '21002': ',1717494625'}",13.7,14.9,DEV_TO_OCC
1717494626.715651,"{'21001': ',1717494626', '11002': ',1717494626', '21002': ',1717494625', '11001': ',1717494625'}",40.0,14.9,DEV_TO_OCC
1717494627.652239,"{'21001': ',1717494627', '11002': ',1717494626', '21002': ',1717494626', '11001': ',1717494625'}",2.1,14.9,DEV_TO_OCC
1717494627.7173398,"{'21001': ',1717494627', '11002': ',1717494627', '21002': ',1717494626', '11001': ',1717494626'}",11.3,14.9,DEV_TO_OCC
1717494628.7021208,"{'21001': ',1717494628', '11002': ',1717494627', '21002': ',1717494627', '11001': ',1717494626'}",1.5,14.9,DEV_TO_OCC
1717494628.7227068,"{'21001': ',1717494628', '11002': ',1717494628', '21002': ',1717494627', '11001': ',1717494627'}",23.1,14.9,DEV_TO_OCC
1717494629.7092812,"{'21001': ',1717494629', '11002': ',1717494628', '21002': ',1717494628', '11001': ',1717494627'}",2.0,14.8,DEV_TO_OCC
1717494629.714007,"{'21001': ',1717494629', '11002': ',1717494629', '21002': ',1717494628', '11001': ',1717494628'}",20.0,14.8,DEV_TO_OCC
1717494630.7973583,"{'21001': ',1717494629', '11002': ',1717494630', '21002': ',1717494628', '11001': ',1717494629'}",2.5,14.8,DEV_TO_OCC
1717494630.7985263,"{'21001': ',1717494630', '11002': ',1717494630', '21002': ',1717494629', '11001': ',1717494629'}",0.0,14.8,DEV_TO_OCC
