Timestamp,DataTimestamp,CPU Usage (%),Memory Usage (%),Steps
1717495483.99166,,89.4,52.3,CU_TO_DEV
1717495483.9925158,,0.0,52.3,CU_TO_DEV
1717495484.1930294,1,26.9,52.3,CU_TO_DEV
1717495484.193391,1,0.0,52.3,CU_TO_DEV
1717495494.2122762,5,2.8,51.6,OCC_TO_CU
1717495494.223827,6,60.0,51.6,OCC_TO_CU
1717495494.3993614,6,42.6,52.1,CU_TO_DEV
1717495494.3992505,6,42.6,52.1,CU_TO_DEV
1717495504.2253454,9,6.0,50.7,OCC_TO_CU
1717495504.2265928,10,0.0,50.7,OCC_TO_CU
1717495504.4044738,10,17.4,51.1,CU_TO_DEV
1717495504.4098876,10,33.3,51.1,CU_TO_DEV
1717495514.2409737,13,3.9,50.5,OCC_TO_CU
1717495514.2474418,14,0.0,50.5,OCC_TO_CU
1717495514.4094188,14,30.8,50.9,CU_TO_DEV
1717495514.414118,14,0.0,50.9,CU_TO_DEV
1717495524.2325795,17,2.9,50.5,OCC_TO_CU
1717495524.2501893,18,40.0,50.5,OCC_TO_CU
1717495524.4148028,18,34.8,50.9,CU_TO_DEV
1717495524.4186418,18,0.0,50.9,CU_TO_DEV
1717495534.278636,21,2.8,50.8,OCC_TO_CU
1717495534.2797985,22,0.0,50.8,OCC_TO_CU
1717495534.4225936,,35.7,51.2,CU_TO_DEV
1717495534.4236636,,0.0,51.2,CU_TO_DEV
1717495544.2703977,25,2.7,50.6,OCC_TO_CU
1717495544.2713027,26,0.0,50.6,OCC_TO_CU
1717495544.4293878,26,22.6,51.0,CU_TO_DEV
1717495544.4292934,26,22.6,51.0,CU_TO_DEV
1717495554.2820146,29,3.7,50.4,OCC_TO_CU
1717495554.2830954,30,0.0,50.4,OCC_TO_CU
1717495554.4346983,30,24.6,50.8,CU_TO_DEV
1717495554.4347417,30,24.6,50.8,CU_TO_DEV
1717495564.3057015,33,2.8,50.5,OCC_TO_CU
1717495564.3227391,34,50.0,50.5,OCC_TO_CU
1717495564.4402633,34,46.7,50.8,CU_TO_DEV
1717495564.4401655,34,46.7,50.8,CU_TO_DEV
1717495574.3314283,37,4.6,50.3,OCC_TO_CU
1717495574.3321774,38,0.0,50.3,OCC_TO_CU
1717495574.4478755,38,40.4,50.7,CU_TO_DEV
1717495574.4491425,38,0.0,50.7,CU_TO_DEV
1717495584.334041,41,3.1,50.5,OCC_TO_CU
1717495584.344139,42,66.7,50.6,OCC_TO_CU
1717495584.4543643,42,43.2,50.7,CU_TO_DEV
1717495584.4541779,42,43.2,50.7,CU_TO_DEV
1717495594.3359642,45,2.6,50.4,OCC_TO_CU
1717495594.3376873,46,100.0,50.4,OCC_TO_CU
1717495594.4602308,46,30.4,50.7,CU_TO_DEV
1717495594.4602787,46,30.4,50.7,CU_TO_DEV
1717495604.3520637,49,2.8,50.5,OCC_TO_CU
1717495604.352765,50,100.0,50.5,OCC_TO_CU
1717495604.4657798,50,93.3,50.8,CU_TO_DEV
1717495604.4677591,50,0.0,50.8,CU_TO_DEV
1717495611.6615672,53,3.8,50.5,OCC_TO_CU
1717495611.6699817,53,33.3,50.5,CU_TO_DEV
1717495611.671125,53,0.0,50.5,CU_TO_DEV
1717495612.951835,54,3.9,50.6,OCC_TO_CU
1717495613.0724914,54,17.0,50.8,CU_TO_DEV
1717495613.0724063,54,17.0,50.8,CU_TO_DEV
1717495614.3660293,55,2.9,50.7,OCC_TO_CU
1717495614.366556,56,0.0,50.7,OCC_TO_CU
1717495614.4739814,56,34.9,50.8,CU_TO_DEV
1717495614.4739344,56,34.9,50.8,CU_TO_DEV
1717495624.3773456,59,3.8,50.4,OCC_TO_CU
1717495624.3781433,60,0.0,50.4,OCC_TO_CU
1717495624.4820127,60,32.5,50.7,CU_TO_DEV
1717495624.4848056,60,50.0,50.7,CU_TO_DEV
1717495634.3935943,63,4.0,50.7,OCC_TO_CU
1717495634.3945677,64,0.0,50.7,OCC_TO_CU
1717495634.4881701,64,25.7,50.7,CU_TO_DEV
1717495634.4910634,64,50.0,50.7,CU_TO_DEV
1717495644.4012902,67,2.7,50.4,OCC_TO_CU
1717495644.4019065,68,0.0,50.4,OCC_TO_CU
1717495644.4934971,68,22.9,50.7,CU_TO_DEV
1717495644.495686,68,0.0,50.7,CU_TO_DEV
1717495654.4174378,71,2.9,50.4,OCC_TO_CU
1717495654.418279,72,0.0,50.4,OCC_TO_CU
1717495654.4989948,72,25.8,50.7,CU_TO_DEV
1717495654.5029957,72,0.0,50.7,CU_TO_DEV
1717495664.4279265,75,2.8,50.5,OCC_TO_CU
1717495664.428597,76,0.0,50.5,OCC_TO_CU
1717495664.5056407,76,27.3,50.8,CU_TO_DEV
1717495664.5085702,76,0.0,50.8,CU_TO_DEV
1717495674.4605832,79,2.5,50.6,OCC_TO_CU
1717495674.4614058,80,0.0,50.6,OCC_TO_CU
1717495674.5115018,80,38.1,50.8,CU_TO_DEV
1717495674.5135412,80,0.0,50.8,CU_TO_DEV
1717495684.458935,83,4.3,50.8,OCC_TO_CU
1717495684.4601269,84,0.0,50.8,OCC_TO_CU
1717495684.5199983,84,29.2,50.9,CU_TO_DEV
1717495684.5206225,84,100.0,50.9,CU_TO_DEV
