Timestamp,DataTimestamp,CPU Usage (%),Memory Usage (%),Steps
1717495483.9531858,,0.0,14.7,OCC_TO_CU_UPDATE
1717495483.9533825,,0.0,14.7,OCC_TO_CU_UPDATE
1717495484.1685476,1,11.9,14.8,OCC_TO_CU
1717495484.1689677,2,100.0,14.8,OCC_TO_CU
1717495484.1693497,3,0.0,14.8,OCC_TO_CU
1717495484.169583,4,0.0,14.8,OCC_TO_CU
1717495485.0323565,"{'21001': '0,1717495484'}",17.3,14.9,DEV_TO_OCC
1717495485.226722,"{'21001': '0,1717495484', '11002': '0,1717495484', '11001': ',1717495484'}",27.5,14.9,DEV_TO_OCC
1717495486.0461426,"{'21001': '0,1717495485', '11002': '0,1717495484', '11001': ',1717495484', '21002': '0,1717495485'}",5.6,14.8,DEV_TO_OCC
1717495486.2506254,"{'21001': '0,1717495485', '11002': '0,1717495485', '11001': ',1717495485', '21002': '0,1717495485'}",6.0,14.8,DEV_TO_OCC
1717495487.275817,"{'21001': '0,1717495485', '11002': '0,1717495486', '11001': ',1717495486', '21002': '0,1717495485'}",2.5,14.8,DEV_TO_OCC
1717495487.2767437,"{'21001': '0,1717495486', '11002': '0,1717495486', '11001': ',1717495486', '21002': '0,1717495486'}",100.0,14.8,DEV_TO_OCC
1717495488.1969306,"{'21001': '0,1717495487', '11002': '0,1717495486', '11001': ',1717495486', '21002': '0,1717495487'}",2.4,14.8,DEV_TO_OCC
1717495488.1979563,"{'21001': '0,1717495487', '11002': '0,1717495487', '11001': ',1717495487', '21002': '0,1717495487'}",0.0,14.8,DEV_TO_OCC
1717495489.145352,"{'21001': '0,1717495488', '11002': '0,1717495487', '11001': ',1717495487', '21002': '0,1717495488'}",1.5,14.7,DEV_TO_OCC
1717495489.1534443,"{'21001': '0,1717495488', '11002': '0,1717495488', '11001': ',1717495488', '21002': '0,1717495488'}",40.0,14.7,DEV_TO_OCC
1717495490.0404658,"{'21001': '0,1717495489', '11002': '0,1717495488', '11001': ',1717495488', '21002': '0,1717495489'}",1.0,14.7,DEV_TO_OCC
1717495490.1557164,"{'21001': '0,1717495489', '11002': '0,1717495489', '11001': ',1717495489', '21002': '0,1717495489'}",5.0,14.7,DEV_TO_OCC
1717495490.9784353,"{'21001': '0,1717495490', '11002': '0,1717495489', '11001': ',1717495489', '21002': '0,1717495490'}",1.2,14.7,DEV_TO_OCC
1717495491.2777991,"{'21001': '0,1717495490', '11002': '0,1717495490', '11001': ',1717495490', '21002': '0,1717495490'}",2.8,14.7,DEV_TO_OCC
1717495492.0880873,"{'21001': '0,1717495491', '11002': '0,1717495490', '11001': ',1717495490', '21002': '0,1717495491'}",1.2,14.7,DEV_TO_OCC
1717495492.1621544,"{'21001': '0,1717495491', '11002': '0,1717495491', '11001': ',1717495491', '21002': '0,1717495491'}",6.9,14.7,DEV_TO_OCC
1717495493.112517,"{'21001': '0,1717495492', '11002': '0,1717495491', '11001': ',1717495491', '21002': '0,1717495492'}",1.3,14.7,DEV_TO_OCC
1717495493.157672,"{'21001': '0,1717495492', '11002': '0,1717495492', '11001': ',1717495492', '21002': '0,1717495492'}",56.9,14.6,DEV_TO_OCC
1717495494.0343184,"{'21001': '0,1717495493', '11002': '0,1717495492', '11001': ',1717495492', '21002': '0,1717495493'}",0.8,14.6,DEV_TO_OCC
1717495494.1805782,5,4.6,14.6,OCC_TO_CU
1717495494.1815763,6,0.0,14.6,OCC_TO_CU
1717495494.1834135,7,0.0,14.6,OCC_TO_CU
1717495494.184466,8,0.0,14.6,OCC_TO_CU
1717495494.2131016,"{'21001': '0,1717495493', '11002': '0,1717495493', '11001': ',1717495493', '21002': '0,1717495493'}",39.5,14.7,DEV_TO_OCC
1717495495.262767,"{'21001': '1,1717495494', '11002': '0,1717495493', '11001': ',1717495493', '21002': '0,1717495494'}",1.4,14.7,DEV_TO_OCC
1717495495.2639709,"{'21001': '1,1717495494', '11002': '1,1717495494', '11001': '1,1717495494', '21002': '0,1717495494'}",0.0,14.7,DEV_TO_OCC
1717495496.0814495,"{'21001': '1,1717495495', '11002': '1,1717495494', '11001': '1,1717495494', '21002': '1,1717495495'}",1.3,14.7,DEV_TO_OCC
1717495496.1600127,"{'21001': '1,1717495495', '11002': '1,1717495495', '11001': '1,1717495495', '21002': '1,1717495495'}",3.3,14.7,DEV_TO_OCC
1717495497.208456,"{'21001': '1,1717495495', '11002': '1,1717495496', '11001': '1,1717495496', '21002': '1,1717495495'}",1.4,14.7,DEV_TO_OCC
1717495497.2095075,"{'21001': '1,1717495496', '11002': '1,1717495496', '11001': '1,1717495496', '21002': '1,1717495496'}",50.0,14.7,DEV_TO_OCC
1717495498.0277493,"{'21001': '1,1717495497', '11002': '1,1717495496', '11001': '1,1717495496', '21002': '1,1717495497'}",1.0,14.7,DEV_TO_OCC
1717495498.2326555,"{'21001': '1,1717495497', '11002': '1,1717495497', '11001': '1,1717495497', '21002': '1,1717495497'}",3.7,14.7,DEV_TO_OCC
